申15:1,每逢七年末一年，你要施行豁免。
申15:2,豁免的定例乃是這樣，凡債主要把所借給鄰舍的豁免了，不可向鄰舍和弟兄追討，因為耶和華的豁免年已經宣告了。
申15:3,若借給外邦人，你可以向他追討，但借給你弟兄，無論是甚麼，你要鬆手豁免了。
申15:4,你若留意聽從耶和華你神的話，謹守遵行我今日所吩咐你這一切的命令，就必在你們中間沒有窮人了，（在耶和華你神所賜你為業的地上，耶和華必大大賜福與你）
申15:5,見上節
申15:6,因為耶和華你的神，必照他所應許你的賜福與你，你必借給許多國民，卻不至向他們借貸，你必管轄許多國民，他們卻不能管轄你。
申15:7,在耶和華你神所賜你的地上，無論那一座城裡，你弟兄中若有一個窮人，你不可忍著心，揝著手，不幫補你窮乏的弟兄。
申15:8,總要向他鬆開手，照他所缺乏的借給他，補他的不足。
申15:9,你要謹慎，不可心裡起惡念，說：第七年的豁免年，快到了，你便惡眼看你窮乏的弟兄，甚麼都不給他，以致他因你求告耶和華，罪便歸於你了。
申15:10,你總要給他，給他的時候，心裡不可愁煩，因耶和華你的神必在你這一切所行的，並你手裡所辦的事上，賜福與你。
申15:11,原來那地上的窮人永不斷絕，所以我吩咐你說：總要向你地上困苦窮乏的弟兄鬆開手。
申15:12,你弟兄中若有一個希伯來男人，或希伯來女人被賣給你，服事你六年，到第七年就要任他自由出去。
申15:13,你任他自由的時候，不可使他空手而去。
申15:14,要從你羊群，禾場，酒醡之中，多多的給他，耶和華你的神怎樣賜福與你，你也要照樣給他。
申15:15,要記念你在埃及地作過奴僕，耶和華你的神將你救贖，因此，我今日吩咐你這件事。
申15:16,他若對你說：我不願意離開你，是因他愛你和你的家，且因在你那裡很好，
申15:17,你就要拿錐子，將他的耳朵在門上刺透，他便永為你的奴僕了，你待婢女也要這樣。
申15:18,你任他自由的時候，不可以為難事，因他服事你六年，較比雇工的工價多加一倍了，耶和華你的神，就必在你所作的一切事上，賜福與你。
申15:19,你牛群羊群中頭生的，凡是公的，都要分別為聖歸耶和華你的神，牛群中頭生的，不可用他耕地，羊群中頭生的不可剪毛。
申15:20,這頭生的，你和你的家屬，每年要在耶和華所選擇的地方，在耶和華你神面前吃。
申15:21,這頭生的，若有甚麼殘疾，就如瘸腿的，瞎眼的，無論有甚麼惡殘疾，都不可獻給耶和華你的神。
申15:22,可以在你城裡吃，潔淨人，與不潔淨人，都可以吃，就如吃羚羊，與鹿一般。
申15:23,只是不可吃他的血，要倒在地上，如同倒水一樣。
